DOI,Title
10.3390/clockssleep4020021,Combining Wake-Up-Back-to-Bed with Cognitive Induction Techniques: Does Earlier Sleep Interruption Reduce Lucid Dream Induction Rate?
10.3389/fpsyg.2020.01746,Findings From the International Lucid Dream Induction Study.
10.3389/fpsyg.2020.01383,"Wake Up, Work on Dreams, Back to Bed and Lucid Dream: A Sleep Laboratory Study."
10.1016/j.concog.2018.05.012,Exploring the effects of galantamine paired with meditation and dream reliving on recalled dreams: Toward an integrated protocol for lucid dream induction and nightmare resolution.
10.4324/9781315812625,Just how lucid are lucid dreams?
10.4324/9780203772546-24,Efficacy of lucid dream induction for lucid and non-lucid dreamers.
10.2307/j.ctv346vfr.25,"False awakenings in lucid dreamers: How they relate with lucid dreams, and how lucid dreamers relate with them."
10.1093/sleep/32.9.1191,"Lucid nightmares: A survey of their frequency, features, and factors in lucid dreamers."
10.1111/j.1365-2869.2012.01022.x,Lucid Dreaming
10.1007/978-1-349-74105-2_19,Physiological Studies of Lucid Dreaming: Stephen LaBerge
10.7551/mitpress/7347.003.0083,Frameworks for understanding lucid dreaming: A review.
10.1007/978-3-319-95453-0_8,Lucid nightmare as a state midway between nightmare and lucid dream.
10.4324/9780203772546-23,LUCID DREAMING WITHIN BIOLOGICAL CLOCK
10.1201/b17676-3,Lucid Dreaming and Personality: A Replication.
10.1016/b978-0-12-822963-7.00035-9,Lucid music â A pilot study exploring the experiences and potential of music-making in lucid dreams.
10.31234/osf.io/bn8dr,Lucid Dreaming: a State of Consciousness with Features of Both Waking and Non-Lucid Dreaming
10.1016/s0262-4079(17)30323-8,Spontaneous lucid dreaming frequency and waking insight.
10.31219/osf.io/rh4qs,Lucid dreaming: an age-dependent brain dissociation
10.1007/978-1-4757-0423-5_7,Cerebral specialization during lucid dreaming: A right hemisphere hypothesis.
10.1007/978-1-4757-0423-5_13,Lucid dreaming frequency and change blindness performance.
10.21203/rs.3.rs-1303397/v1,Lucid Art and hyperspace lucidity.
10.1007/978-1-4757-0423-5_2,Lucid Dreaming/Lucid Reading: Notes on Sleepers in Blakeâs Songs
10.1145/3532106.3533538,Psychophysiological correlates of lucid dreaming.
10.1016/s0262-4079(12)61891-0,Validity established of DreamLight cues for eliciting lucid dreaming.
10.1353/abr.2012.0184,Lucid dreaming frequency and alarm clock snooze button use.
10.7551/mitpress/2834.003.0069,Light in lucid dreams: A review.
10.1353/psg.2015.0021,Lucid dreaming: Effects of culture in a U.S. American sample.
10.31234/osf.io/5x6hj,Cardiovascular responses to dreamed physical exercise during REM lucid dreaming.
10.1007/978-1-4757-0423-5_10,Association of lucid dreaming frequency with Stroop task performance.
10.1007/978-3-319-07296-8_29,Supplemental Material for Video Game Play and Lucid Dreams: Implications for the Development of Consciousness
10.31234/osf.io/6ub4d,Lucid Dreaming
10.1002/jts.20601,Lucid Dreaming
10.1016/b978-0-323-24288-2.00052-0,Reality testing and the mnemonic induction of lucid dreams: Findings from the national Australian lucid dream induction study.
10.1002/ch.390,Examining the triggers of lucid insight.
10.4324/9781003223474-9,"Lucid dreaming, waking personality and cognitive development."
10.31525/ct1-nct03913988,Interhemispheric EEG Coherence in REM Sleep and Meditation: The Lucid Dreaming Connection: Jayne Gackenbach
10.1016/s0924-9338(15)31372-9,Lucid dreaming
10.30965/9783846761571_008,Increasing perception vividness during lucid dreaming by spinning: A pilot study.
10.1007/978-1-4757-0423-5_12,Lucid dreaming
10.3389/fnins.2020.00361,Lucid dreaming as a correlate of locus of control and resilience.
10.1075/aicr.20.14lab,Flying limitations in lucid dreams.
10.4101/jvwr.v11i2.7249,Achieving pain during lucid dreaming and transferring it into wakefulness.
10.4324/9781315224701-5,Active Imagination as an  Alternative to Lucid Dreaming: Theory and Experimental Results
10.1017/s0140525x00574020,Lucid dreaming treatment for nightmares: A series of cases.
10.18318/td.2016.5.7,Lucid Dreaming as Laboratory and Abode
10.3389/fpsyg.2013.00987,Electronic media and lucid-control dreams: Morning after reports.
10.28995/2658-5294-2020-3-3-66-83,Lucid dreaming for beginners
10.3389/fpsyg.2020.01885,Lucid Dreaming and Creativity: Opening New Worlds
10.3389/fpsyg.2019.02585,Can learning to lucid dream promote personal growth?
10.1016/j.paid.2004.02.003,Relationships between video game play factors and frequency of lucid and control dreaming experiences.
10.5665/sleep.4676,Lucid dreaming treatment for nightmares: A series of cases.
10.1016/j.mehy.2013.04.049,Lucid dreaming: Paradoxes of dreaming consciousness.
10.5665/sleep.4516,Partial memory reinstatement while (lucid) dreaming to change the dream environment
10.1145/3290607.3312952,The Psychophysiology of Lucid Dreaming
10.3390/rel9030081,The effectiveness of lucid dreaming practice on waking task performance: A scoping review of evidence and meta-analysis.
10.1006/ccog.1994.1014,Personal Experiences in Lucid Dreaming
10.1159/000289106,"Nightmares, Mindfulness And Lucid Dreaming"
10.1075/aicr.79.21hob,Lucid Dreaming in Western Literature
10.1016/j.sleep.2006.02.010,Lucid Dreaming Skills Scale
10.1055/s-0033-1353315,Inner ghosts: Encounters with threatening dream characters in lucid dreams.
10.1558/imre.v19i2.28563,Lucid Loop: Exploring the Parallels between Immersive Experiences and Lucid Dreaming
10.1177/0276236617742622,Video game play and lucid dreams: Implications for the development of consciousness.
10.1109/var4good.2018.8576889,Games special: Lucid dreaming
10.1109/vr.2018.8446546,Lucid Dreaming
10.3389/978-2-88966-591-4,Lucid Dreaming Verified by Volitional Communication During REM Sleep
10.1093/sleep/zsaa056.237,Lucid Dreaming Frequency and Dream Recall Frequency Measures
10.1093/sleepj/zsx050.730,On Lucid Dreaming
10.1523/jneurosci.3342-14.2015,Measuring attitude toward lucid dreams: A six-item scale.
10.1159/000095446,The Effects of a Two-Week Reflection-Intention Training Program on Lucid Dream Recall.
10.2466/pms.71.6.627-644,Cognitive structure associated with the lucid features of gamers dreams.
10.1016/j.concog.2021.103163,Posttraumatic nightmares and imagery rehearsal: The possible role of lucid dreaming.
10.1093/sleepj/zsx050.1076,Physical self-concept and the frequency of lucid dreams and nightmares.
10.5114/nan.2021.113320,Differences between lucid and nonlucid dream reports: A within-subjects design.
10.1177/02762366221094245,I did not expect to be dreaming: Explaining realization in lucid dreams with a Bayesian framework
10.5406/amerjpsyc.127.2.0191,Individual Differences Associated with Lucid Dreaming
10.1177/003151259508100258,Does Your âSingle-Mindedâ Characterization of Dreaming Now Find Confirmation and Explanation in the Lucid Dreaming Data?
10.5840/chesterton2022481/212,Maximizing benefits and minimizing concerns of lucid-dreaming practice
10.2466/pms.1989.68.2.567,Lucid dreaming and resilience in the face of exposure to terrorism
10.1007/978-3-319-07296-8_35,Lucid Dreaming
10.1111/jsr.12022,Inducing lucid dreams: The wake-up-back-to-bed technique in the home setting.
10.1371/journal.pone.0201246,Lucid dreaming: Psychophysiological studies of consciousness during REM sleep.
10.1016/0191-8869(94)90242-9,Lucid dreaming.
10.1016/j.concog.2020.102974,Lucid dreaming Ã¢ÂÂ dreams of clarity
10.1016/j.tics.2021.04.004,Dream characters and the dream ego: An exploratory online study in lucid dreams.
10.2466/pms.1980.51.3f.1039,"Changes in dream recall frequency, nightmare frequency, and lucid dream frequency over a 3-year period."
10.3390/clockssleep2010007,I dream therefore I am: A review on lucid dreaming in Western philosophy.
10.1109/ipsn.2007.4379695,Lucid dreaming
10.3389/fpsyg.2018.02164,Comparative Effectiveness of Three Lucid Dreaming and Sleep Hygiene Techniques
10.1177/02762366221113292,Dispelling the shadows of the lucid night: An exploration of potential adverse effects of lucid dreaming.
10.2466/pms.1995.81.2.658,Lucid Dreaming: a Mysterious Phenomenon
10.2190/ic.29.3.h,TrÃ¤umen und Wachen im Schlafl abor: Die verschachtelte RealitÃ¤t des âºLucid Dreamingâ¹
10.1016/s0191-8869(99)00078-1,Clinical Applications of Lucid Dreaming
10.3389/fpsyg.2021.635183,On Moving the Eyes to Flag Lucid Dreaming
10.2466/09.pms.112.1.104-108,Varieties of Lucid Dreaming Experience
10.3389/fpsyg.2020.01826,Dreaming the Virtual: How Lucid Dream Practice Can Inform VR Development
10.4324/9781315224701-20,Vestibular Involvement in the Neurocognition of Lucid Dreaming
10.3389/fpsyg.2018.00384,"Transpersonal experiences in lucid dreaming, meditation and art: An inquiry into the spaces of the mind"
10.3389/fpsyg.2020.00471,Lucid dreaming: Evidence and methodology
10.1080/15402002.2020.1739688,"Nieoniryczna konwencja ""literatury snu"". Lucid dreaming i postrealizm w ""Scenach ÅÃ³Å¼kowych"" Adama Wiedemanna"
10.4992/pacjpa.76.0_3pma21,"Volitional components of consciousness vary across wakefulness, dreaming and lucid dreaming"
10.1177/0276236616648653,âDREAM HACKERSâ. THE RELIABILITY OF LUCID DREAMING
10.1016/j.concog.2016.06.002,Lucid Dreaming Brain Network Based on Tholeyâs 7 Klartraum Criteria
10.1016/j.concog.2010.08.001,Is It a Good Idea to Cultivate Lucid Dreaming?
10.3389/fnhum.2014.00717,Lucid dreaming frequency and personality
10.1093/sleep/zsab294,Increased Lucid Dreaming Frequency in Narcolepsy
10.1145/1236360.1236405,Neurobiology and clinical implications of lucid dreaming
10.1016/j.mehy.2020.110169,Lucid Dreaming in Narcolepsy
10.4992/pacjpa.82.0_1am-068,Lucid Loop
10.1016/j.concog.2013.08.005,A Day in the Life of an Aesthetic TÄntrika: From Synaesthetic Garden to Lucid Dreaming and Spaciousness
10.1111/ane.12362,Lucid Dreaming as Metacognition: Implications for Cognitive Science
10.2466/pms.1990.71.2.627,Lucid Dreaming as a Treatment for Recurrent Nightmares
10.5860/choice.187262,Lucid dreaming and theÂ bimodalityÂ ofÂ consciousness
10.1016/0301-0511(84)90056-5,Lucid dreaming during Multiple Sleep Latency Test (MSLT)
10.1093/sleep/zsaa056.110,Lucid dreams in veterans with posttraumatic stress disorder include nightmares.
10.1177/0276236615572594,"Dream recall, nightmares and lucid dreaming in narcoleptic patients"
10.3389/fpsyg.2019.02618,"What American College Students Want from Religion: Facebookismanity, Lucid Dreaming, and Bodhisattva Tupac Shakur"
10.3389/fnhum.2013.00836,Lucid Dreaming: A Diary Study
10.1080/03080188.2017.1380468,Can Lucid Dreaming Research Guide Self-Transcendent Experience Design in Virtual Reality?
10.33824/pjpr.2022.37.2.12,Lucid Virtual Dreaming: Antecedents and Consequents of Virtual Lucidity During Virtual Threat
10.1080/00048671003614213,"âIs this a Dream?â â Evolutionary, Neurobiological and Psychopathological Perspectives on Lucid Dreaming"
10.1145/3173574.3173917,"0239 Mindfulness Moderates the Relationship Between Lucid Dreaming, Nightmare Distress, and Sleep Quality"
10.1007/s11263-019-01164-6,"0731 THE RELATIONSHIP BETWEEN VIDEO GAME USE, GAME GENRE, AND LUCID/CONTROL DREAMING"
10.24832/jk.v11i1.18,Metacognitive Mechanisms Underlying Lucid Dreaming
10.2466/pms.1981.52.3.727,Lucid Dreaming Treatment for Nightmares: A Pilot Study
10.2466/pms.1982.55.3.795,"THE MULTIPLICITY OF DREAMS: COGNITIVE-AFFECTIVE CORRELATES OF LUCID, ARCHETYPAL, AND NIGHTMARE DREAMING"
